https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e53cbd7a
47,Ali Alipour,FW,ir IR Iran,30,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,488ee64c
48,Alisson,GK,br Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
49,Thiago Almada,MF,ar Argentina,25,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,27f33438
50,Miguel Almirón,MFFW,py Paraguay,32,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,862a1c15
51,Júnior Alonso,DF,py Paraguay,33,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b18a3023
52,Barış Alper Yılmaz,MFFW,tr Türkiye,26,1.tr Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.50,0.50,1.01,0.50,1.01,Matches,414b2ce4
53,Roberto Alvarado,FWMF,mx Mexico,27,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.00,0.63,0.63,0.00,0.63,Matches,ff871e14
54,Edson Álvarez,MFDF,mx Mexico,28,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8b3ab7ad
55,Julián Álvarez,FW,ar Argentina,26,1.es Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,15ab5a2b
56,Ayoube Amaimouni,MF,ma Morocco,21,1.de Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5a07a5e
57,Zeki Amdouni,FWMF,ch Switzerland,25,1.eng Burnley,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ee5b0c9
58,Michael Amir Murillo,DFMF,pa Panama,30,1.tr Beşiktaş,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,349cae8f
59,Nadiem Amiri,MF,de Germany,29,1.de Mainz 05,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0.00,2.14,2.14,0.00,2.14,Matches,555d5edd
60,Amir Al Ammari,MF,iq Iraq,28,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,Matches,9f65be73
61,Azizbek Amonov,FW,uz Uzbekistan,28,1.uz FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f487314f
62,Mohamed Amoura,FWMF,dz Algeria,26,1.de Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6597f8b6
63,Sofyan Amrabat,MF,ma Morocco,29,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a2cb25d
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,Matches,fd0affe3
65,Youssef Amyn,MF,iq Iraq,22,1.cy AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10c12f22
66,Elliot Anderson,MF,eng England,23,1.eng Nottingham,2002,8,7,632,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,de31038e
67,Andrés Andrade Cedeño,DF,pa Panama,27,1.at LASK,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6ea23758
68,Fredrik André Bjørkan,DF,no Norway,27,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3724baa1
69,Nilson Angulo,MF,ec Ecuador,22,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,a9b9d89c
70,Waldemar Anton,DFMF,de Germany,29,1.de Dortmund,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e66fa06
71,Jeremy Antonisse,FWMF,cw Curaçao,24,1.gr AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6011e63a
72,Houssem Aouar,MF,dz Algeria,27,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.00,1.04,1.04,0.00,1.04,Matches,a5db0bec
73,Oswin Appollis,MFFW,za South Africa,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8933eb0
74,Yazan Al-Arab,DF,jo Jordan,30,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,32878a09
75,Maxi Araújo,FWMF,uy Uruguay,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches,f9ab3f4a
76,Tomás Araújo,DF,pt Portugal,24,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0fa11d7d
