https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
281,Eren Elmalı,DF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8eeb8ba4
282,Nico Elvedi,DF,ch Switzerland,29,1.de Gladbach,1996,6,6,600,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,48035304
283,Breel Embolo,FW,ch Switzerland,29,1.fr Rennes,1997,6,6,501,5.6,2,2,4,1,1,1,2,1,0.36,0.36,0.72,0.18,0.54,Matches,0b4f388a
284,Julio Enciso,FW,py Paraguay,22,1.fr Strasbourg,2004,5,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.70,0.23,0.70,Matches,9cfbad36
285,Endrick,FW,br Brazil,19,1.fr Lyon,2006,4,0,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a2728fbf
286,Sherzod Esanov,MF,uz Uzbekistan,23,1.uz FK Bukhara Nurafshon,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd6667ba
287,Fidel Escobar,DF,pa Panama,31,1.cr Saprissa,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4991ec66
288,Pervis Estupiñán,MF,ec Ecuador,28,1.it Milan,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d38fdf53
289,Derrick Etienne,FWMF,ht Haiti,29,1.us Toronto FC,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59059f1e
290,Stephen Eustáquio,MF,ca Canada,29,1.pt Porto,1996,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,577efaec
291,Martin Expérience,DFMF,ht Haiti,27,2.fr Nancy,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9edb83f4
292,Saeid Ezatolahi,MF,ir IR Iran,29,1.ae Al-Ahli Dubai FC,1996,3,3,264,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,314d95ac
293,Eberechi Eze,MF,eng England,27,1.eng Arsenal,1998,5,1,211,2.3,0,1,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,ae4fc6a4
294,Fabinho,DFMF,br Brazil,32,1.sa Al-Ittihad,1993,3,0,71,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f3b388c
295,José Fajardo,FW,pa Panama,32,1.ec Univ Católica,1993,3,1,155,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,682e47b3
296,Odeh Al-Fakhouri,MFFW,jo Jordan,20,1.eg Pyramids FC,2005,3,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30591ae5
297,Henrik Falchener,DF,no Norway,23,1.no Viking,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57fe6b9b
298,Marko Farji,MF,iq Iraq,22,2.it Venezia,2004,2,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e046cff6
299,Christian Fassnacht,FWMF,ch Switzerland,32,1.ch Young Boys,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0aeeed3f
300,Abdul Fatawu Issahaku,FWMF,gh Ghana,22,2.eng Leicester City,2004,4,0,132,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bceda5ff
301,Ahmed Fathy,MF,qa Qatar,33,1.qa Al-Arabi,1993,3,1,150,1.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f2369793
302,Hamdy Fathy,DFMF,eg Egypt,31,1.qa Al-Wakrah,1994,4,3,238,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c8ef4955
303,Ahmed Fatouh,DF,eg Egypt,28,1.eg Zamalek SC,1998,3,3,267,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,de13286d
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,1.tr Başakşehir,2003,3,3,220,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,ef1d36a1
305,João Félix,MF,pt Portugal,26,1.sa Al-Nassr,1999,3,3,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8aafd64f
306,Lewis Ferguson,MF,sct Scotland,26,1.it Bologna,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee64a822
307,Bruno Fernandes,MF,pt Portugal,31,1.eng Manchester Utd,1994,5,5,422,4.7,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,507c7bdf
308,Enzo Fernández,MF,ar Argentina,25,1.eng Chelsea,2001,7,7,659,7.3,2,0,2,2,0,0,2,1,0.27,0.00,0.27,0.27,0.27,Matches,5ff4ab71
309,Matias Fernandez-Pardo,FWMF,be Belgium,21,1.fr Lille,2005,3,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0cdb6a2a
310,Álvaro Fidalgo,MF,mx Mexico,29,1.es Real Betis,1997,3,1,96,1.1,1,0,1,1,0,0,0,0,0.94,0.00,0.94,0.94,0.94,Matches,c705cdc4
311,Sherel Floranus,DF,cw Curaçao,27,1.nl Zwolle,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ad49fbb
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1.pt Porto,1995,2,1,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5313ed43
313,Yahia Fofana,GK,ci Côte d'Ivoire,25,1.tr Rizespor,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9d420dad
314,Deveron Fonville,DF,cw Curaçao,23,1.nl NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21932982
315,Yassin Fortuné,FWMF,ht Haiti,27,2.pt Vizela,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ddcc9e22
316,Lyle Foster,FW,za South Africa,25,1.eng Burnley,2000,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f84a807c
317,Alan Franco,DF,ec Ecuador,27,1.br Atlético Mineiro,1998,4,4,251,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c76b161b
318,Alex Freeman,DF,us USA,21,1.es Villarreal,2004,5,4,374,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches,754f150b
319,Matt Freese,GK,us USA,27,1.us NYCFC,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f49476c
320,Remo Freuler,MF,ch Switzerland,34,1.it Bologna,1992,6,6,592,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98d2c2c4
321,Marco Friedl,DF,at Austria,28,1.de Werder Bremen,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f86ad3f5
322,Juriën Gaari,DF,cw Curaçao,32,2.sa Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf7a9d1a
323,Jassem Gaber,MF,qa Qatar,24,1.qa Al Rayyan SC,2002,3,3,149,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af9ef8aa
324,Cody Gakpo,FW,nl Netherlands,27,1.eng Liverpool,1999,4,4,368,4.1,3,1,4,3,0,0,0,0,0.73,0.24,0.98,0.73,0.98,Matches,1971591f
325,Matías Galarza,MF,py Paraguay,24,1.us Atlanta Utd,2002,4,4,388,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.46,0.23,0.46,Matches,8e97a57b
326,Hernán Galíndez,GK,ec Ecuador,39,1.ar Huracán,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89c136f6
327,Jesús Gallardo,DF,mx Mexico,31,1.mx Toluca,1994,5,4,373,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0846b6c
328,Ahmed Al-Ganehi,FW,qa Qatar,25,1.qa Al-Gharafa Sports Club,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,efcf04d2
329,Ben Gannon-Doak,MF,sct Scotland,20,1.eng Bournemouth,2005,3,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,733f1a7d
330,Eric García,DFMF,es Spain,25,1.es Barcelona,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bed3eab
331,Gavi,FW,es Spain,21,1.es Barcelona,2004,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19cae58d
332,Jason Geria,DF,au Australia,33,2.jp Albirex Niigata,1993,2,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd494a8d
333,Khalid Al Ghannam,MF,sa Saudi Arabia,25,1.sa Al-Ettifaq,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c16843c7
334,Ismaël Gharbi,MF,tn Tunisia,22,1.de Augsburg,2004,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b3cfa12
335,Mehdi Ghayedi,FW,ir IR Iran,27,1.ae Al-Nasr Dubai,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6c90b4b
336,Farés Ghedjemis,FWMF,dz Algeria,23,2.it Frosinone,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,14aac43e
337,Saman Ghoddos,MF,ir IR Iran,32,1.ae Al-Ittihad Kalba,1993,3,3,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7b1d4e0
338,Mohammad Ghorbani,MF,ir IR Iran,25,1.ae Al-Wahda FC,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a078e18
339,Lee Gi-hyuk,DF,kr Korea Republic,25,1.kr Gangwon FC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,18c8c3c7
340,Armin Gigovic,MF,ba Bosnia–Herz,24,1.ch Young Boys,2002,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0a0858e
341,Orlando Gill,GK,py Paraguay,26,1.py San Lorenzo,2000,5,5,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d425331
342,Santiago Giménez,FW,mx Mexico,25,1.it Milan,2001,4,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37337aea
343,Aníbal Godoy,MF,pa Panama,36,1.us San Diego FC,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d496ca3
344,Andrés Gómez,MF,co Colombia,23,1.br Vasco da Gama,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76a82373
345,Diego Gómez,MF,py Paraguay,23,1.eng Brighton,2003,4,4,304,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,916728da
346,Gustavo Gómez,DF,py Paraguay,33,1.br Palmeiras,1993,5,5,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5ce52a5
347,Armando González,FW,mx Mexico,23,1.mx Guadalajara,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1278bc9a
348,Nicolás González,MF,ar Argentina,28,1.es Atlético Madrid,1998,7,1,259,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,2374aaca
349,Anthony Gordon,MF,eng England,25,1.es Barcelona,2001,6,5,396,4.4,1,3,4,1,0,0,0,0,0.23,0.68,0.91,0.23,0.91,Matches,2bd83368
350,Leon Goretzka,MF,de Germany,31,1.de Bayern Munich,1995,3,0,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc86b9a3
351,Kenji Gorré,FWMF,cw Curaçao,31,1.il Maccabi Haifa,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52d1a4c6
352,Keisuke Gotō,FW,jp Japan,21,1.be Sint-Truiden,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82a2ca86
353,Amine Gouiri,FW,dz Algeria,26,1.fr Marseille,2000,4,3,251,2.8,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,aad56ca3
354,Ryan Gravenberch,MF,nl Netherlands,24,1.eng Liverpool,2002,4,4,345,3.8,0,2,2,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,Matches,b8e740fb
355,Michael Gregoritsch,FW,at Austria,32,1.de Augsburg,1994,3,2,188,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,8e235926
356,Florian Grillitsch,DFMF,at Austria,30,1.pt Braga,1995,2,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffbbc83b
357,Pascal Groß,DFMF,de Germany,34,1.eng Brighton,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8aec0537
358,Gabriel Gudmundsson,MFDF,se Sweden,27,1.eng Leeds United,1999,4,4,330,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d5d22a58
359,Cho Gue-sung,FW,kr Korea Republic,28,1.dk Midtjylland,1998,2,0,31,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ccfa8e5e
360,Marc Guéhi,DF,eng England,25,1.eng Manchester City,2000,8,7,663,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d0706b27
361,Evann Guessand,FWMF,ci Côte d'Ivoire,24,1.eng Crystal Palace,2001,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b73f17f8
362,Idrissa Gueye,MF,sn Senegal,36,1.eng Everton,1989,4,4,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72c812f3
363,Pape Gueye,MF,sn Senegal,27,1.es Villarreal,1999,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,0.77,1.15,Matches,7155e3e1
364,Bruno Guimarães,MF,br Brazil,28,1.eng Newcastle,1997,5,5,416,4.6,0,4,4,0,0,1,0,0,0.00,0.87,0.87,0.00,0.87,Matches,82518f62
365,Deniz Gül,FW,tr Türkiye,21,1.pt Porto,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0fb443e
366,Arda Güler,MF,tr Türkiye,21,1.es Real Madrid,2005,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,3741ca58
367,Angus Gunn,GK,sct Scotland,30,1.eng Nottingham,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e082af5b
368,Malo Gusto,DF,fr France,23,1.eng Chelsea,2003,5,1,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d56b9520
369,Brian Gutiérrez,MF,mx Mexico,22,1.mx Guadalajara,2003,4,2,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d88f31db
370,Jorge Gutiérrez,DF,pa Panama,27,1.ve Dep. La Guaira,1998,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56f6d192
371,Joško Gvardiol,DF,hr Croatia,24,1.eng Manchester City,2002,4,2,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ad50391
372,Viktor Gyökeres,FW,se Sweden,28,1.eng Arsenal,1998,4,4,360,4.0,1,2,3,1,0,0,1,0,0.25,0.50,0.75,0.25,0.75,Matches,4d5a9185
373,Aziz Gʻaniyev,MF,uz Uzbekistan,28,,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0c492054
374,Erling Haaland,FW,no Norway,25,1.eng Manchester City,2000,5,5,465,5.2,7,0,7,7,0,0,0,0,1.35,0.00,1.35,1.35,1.35,Matches,1f44ac21
375,Ihsan Haddad,DF,jo Jordan,32,1.jo Al-Hussein SC,1994,3,3,260,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,85660a5d
376,Anis Hadj Moussa,MF,dz Algeria,24,1.nl Feyenoord,2002,3,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7bc7eef2
377,Jaouen Hadjam,DF,dz Algeria,23,1.ch Young Boys,2003,3,1,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,576817b7
378,Amir Hadžiahmetović,MF,ba Bosnia–Herz,29,2.eng Hull City,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8213ed3
379,Dennis Hadžikadunić,DF,ba Bosnia–Herz,27,2.it Sampdoria,1998,1,0,27,0.3,0,1,1,0,0,0,0,0,0.00,3.33,3.33,0.00,3.33,Matches,82cfae2a
380,Karim Hafez,DF,eg Egypt,30,1.eg Pyramids FC,1996,3,2,172,1.9,0,1,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,Matches,d2debf23
381,Ehsan Hajsafi,DF,ir IR Iran,36,1.ir Sepahan,1990,2,1,91,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b060e3b8
382,Achraf Hakimi,DF,ma Morocco,27,1.fr PSG,1998,6,6,570,6.3,1,2,3,1,0,0,1,0,0.16,0.32,0.47,0.16,0.47,Matches,e42d61c7
383,Redouane Halhal,DF,ma Morocco,23,1.be Mechelen,2003,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e17c2cec
384,Ali Al Hamadi,FW,iq Iraq,24,2.eng Ipswich Town,2002,3,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8450467d
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1.sa Al-Nassr,1999,3,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc4b5436
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1.tn Espérance Tunis,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a5e8f82
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1.ir Tractor,1996,2,1,77,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,03f63e77
388,Lee Han-beom,DF,kr Korea Republic,23,1.dk Midtjylland,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,071f2dd3
389,Grant Hanley,DF,sct Scotland,34,1.sct Hibernian,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9254eec
390,Sontje Hansen,FW,cw Curaçao,24,2.eng Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70bad10b
391,Mohamed Hany,DF,eg Egypt,30,1.eg Al Ahly,1996,5,5,480,5.3,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,9bcf1513
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,1.sa Al-Hilal,2000,3,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1d88554c
393,Saleh Hardani,DF,ir IR Iran,27,1.ir Esteghlal,1998,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a9b682b
394,Carlos Harvey,MF,pa Panama,26,1.us Minnesota Utd,2000,3,3,267,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3f18600c
395,Akam Hashim,DF,iq Iraq,27,1.iq Al-Zawra'a SC,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f8416e89
396,Haissem Hassan,MF,eg Egypt,24,1.es Oviedo,2002,2,1,126,1.4,0,1,1,0,0,0,2,0,0.00,0.71,0.71,0.00,0.71,Matches,e0979e74
397,Jalal Hassan,GK,iq Iraq,35,1.iq Al-Zawra'a SC,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87351c2e
398,Abdulaziz Hatem,MF,qa Qatar,36,1.qa Al Rayyan SC,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5065ef8
399,Jorrel Hato,DF,nl Netherlands,20,1.eng Chelsea,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bde35051
400,Kai Havertz,FW,de Germany,27,1.eng Arsenal,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0.00,0.76,0.51,0.51,Matches,fed7cb61
401,Hassan Al-Haydos,MF,qa Qatar,35,1.qa Al Sadd,1990,2,1,57,0.6,1,0,1,1,0,0,0,0,1.58,0.00,1.58,1.58,1.58,Matches,41bd6c64
402,Jan Paul van Hecke,DF,nl Netherlands,26,1.eng Brighton,2000,4,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,4fd08daa
403,Hwang Hee-chan,FW,kr Korea Republic,30,1.eng Wolves,1996,3,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,169fd162
404,Torbjørn Heggem,DF,no Norway,27,1.it Bologna,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,834fea76
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1.sa Neom,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d258576
406,Dean Henderson,GK,eng England,29,1.eng Crystal Palace,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5a76dfe
407,Jordan Henderson,MF,eng England,35,1.eng Brentford,1990,1,0,7,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,935e6b8f
408,Jack Hendry,DF,sct Scotland,31,1.sa Al-Ettifaq,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffed43e3
409,Luiz Henrique,FWMF,br Brazil,25,1.ru Zenit,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8059806f
410,Theo Hernández,DF,fr France,28,1.sa Al-Hilal,1997,5,3,257,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4c9725f
411,Lucas Herrington,DF,au Australia,18,1.us Colorado Rapids,2007,2,2,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f808c85
412,Son Heung-min,FW,kr Korea Republic,33,1.us LAFC,1992,3,2,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92e7e919
413,Aaron Hickey,DF,sct Scotland,24,1.eng Brentford,2002,1,1,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1780bb4a
414,Isak Hien,DF,se Sweden,27,1.it Atalanta,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,12806697
415,Piero Hincapié,DF,ec Ecuador,24,1.eng Arsenal,2002,4,4,339,3.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0c7a48f8
416,Adam Hložek,FW,cz Czechia,23,1.de Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5521f419
417,Tomáš Holeš,DF,cz Czechia,33,1.cz Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e03c2d97
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,1.ir Tractor,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47270f0c
419,Robin Hranáč,DF,cz Czechia,26,1.de Hoffenheim,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95d5aea2
420,Ajdin Hrustic,MF,au Australia,29,1.nl Heracles Almelo,1996,2,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f2d714c
421,César Huerta,FWMF,mx Mexico,25,1.be Anderlecht,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de2f44ce
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,1.qa Al-Arabi,2003,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c164fda2
423,Ayman Hussein,FW,iq Iraq,30,1.iq Al-Karma,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0.00,0.78,0.78,0.78,Matches,8b574de7
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,1.tr Beşiktaş,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches,d25422fb
425,Yang Hyun-jun,FWMF,kr Korea Republic,24,1.sct Celtic,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4cda99f
