https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
178,Casemiro,MF,br Brazil,34,1992,4.2,1,4,2,50.0,0.95,0.47,0.25,0.50,0,0,Matches,4d224fe8
179,Josué Casimir,MF,ht Haiti,24,2001,2.0,0,1,0,0.0,0.49,0.00,0.00,,0,0,Matches,481f76cf
180,Timothy Castagne,DF,be Belgium,30,1995,5.3,0,3,1,33.3,0.56,0.19,0.00,0.00,0,0,Matches,197640fd
181,Kevin Castaño,MF,co Colombia,25,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,c393c3d9
182,Jens Castrop,MF,kr Korea Republic,22,2003,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,03fee7de
183,Zeki Çelik,DF,tr Türkiye,29,1997,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,0,0,Matches,31a62dc7
184,Lukáš Červ,MF,cz Czechia,25,2001,1.8,0,3,2,66.7,1.66,1.10,0.00,0.00,0,0,Matches,bb4a41bc
185,Fares Chaïbi,MF,dz Algeria,23,2002,4.0,0,9,3,33.3,2.25,0.75,0.00,0.00,0,0,Matches,357103bd
186,Trevoh Chalobah,DFMF,eng England,26,1999,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,5515376c
187,Štěpán Chaloupek,DF,cz Czechia,23,2003,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,ded82b9a
188,Mouhib Chamakh,GK,tn Tunisia,24,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,9627f87b
189,Firas Chaouat,FW,tn Tunisia,30,1996,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,7fa8ef98
190,Luis Chávez,MF,mx Mexico,30,1996,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,e50949ea
191,Mateo Chávez,DF,mx Mexico,22,2004,0.9,1,1,1,100.0,1.17,1.17,1.00,1.00,0,0,Matches,f82246a1
192,Samir Chergui,DF,dz Algeria,27,1999,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,4b6ab1da
193,Rayan Cherki,MF,fr France,22,2003,1.4,0,1,1,100.0,0.69,0.69,0.00,0.00,0,0,Matches,b34c63a5
194,Mathieu Choinière,MF,ca Canada,27,1999,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,017459bb
195,Tahith Chong,MF,cw Curaçao,26,1999,2.7,0,4,2,50.0,1.46,0.73,0.00,0.00,0,0,Matches,2696b6a9
196,Tomáš Chorý,FW,cz Czechia,31,1995,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,163bbd4a
197,Ryan Christie,MF,sct Scotland,31,1995,1.1,0,2,0,0.0,1.89,0.00,0.00,,0,0,Matches,26ce2263
198,Carney Chukwuemeka,MF,at Austria,22,2003,0.9,0,2,1,50.0,2.17,1.08,0.00,0.00,0,0,Matches,b2f9c73e
199,Mojmír Chytil,FW,cz Czechia,27,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,01a08323
200,Brian Cipenga,MFFW,cd Congo DR,28,1998,1.6,1,6,1,16.7,3.70,0.62,0.17,1.00,0,0,Matches,e4787d6f
201,Alessandro Circati,DF,au Australia,22,2003,4.3,0,3,0,0.0,0.69,0.00,0.00,,0,0,Matches,1223765c
202,Pathé Ciss,DF,sn Senegal,32,1994,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,0,0,Matches,9a0408b6
203,Livano Comenencia,MF,cw Curaçao,22,2004,2.6,1,5,2,40.0,1.93,0.77,0.20,0.50,0,0,Matches,c9d96dc1
204,Eray Cömert,DF,ch Switzerland,28,1998,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,15937e17
205,Francisco Conceição,MF,pt Portugal,23,2002,1.4,0,2,0,0.0,1.43,0.00,0.00,,0,0,Matches,5ef3d210
206,Jhon Córdoba,FW,co Colombia,33,1993,1.1,0,2,1,50.0,1.82,0.91,0.00,0.00,0,0,Matches,9f381d8b
207,José Córdoba,DF,pa Panama,25,2001,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,bec98750
208,Derek Cornelius,DF,ca Canada,28,1997,3.5,0,5,1,20.0,1.43,0.29,0.00,0.00,0,0,Matches,577744b8
209,Diogo Costa,GK,pt Portugal,26,1999,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,93fffbcf
210,Nuno da Costa,FW,cv Cabo Verde,35,1991,1.8,0,1,0,0.0,0.57,0.00,0.00,,0,0,Matches,909222de
211,Samu Costa,MF,pt Portugal,25,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,76c2a023
212,Vladimír Coufal,MFDF,cz Czechia,33,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,fdf3cb77
213,Thibaut Courtois,GK,be Belgium,34,1992,6.1,0,0,0,,0.00,0.00,,,0,0,Matches,1840e36d
214,Maxime Crépeau,GK,ca Canada,32,1994,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,ea42e480
215,Max Crocombe,GK,nz New Zealand,32,1993,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,fdf47077
216,Pau Cubarsí,DF,es Spain,19,2007,8.3,0,4,2,50.0,0.48,0.24,0.00,0.00,0,0,Matches,cc7888f3
217,Andrés Cubas,MF,py Paraguay,30,1996,5.3,0,1,0,0.0,0.19,0.00,0.00,,0,0,Matches,9b40a6ea
218,Cucho,FWMF,co Colombia,27,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,0,0,Matches,71b47ab9
219,Marc Cucurella,DF,es Spain,27,1998,8.3,0,5,3,60.0,0.60,0.36,0.00,0.00,0,0,Matches,1daec722
220,Matheus Cunha,FW,br Brazil,27,1999,3.2,3,11,5,45.5,3.41,1.55,0.27,0.60,0,0,Matches,dc62b55d
221,Findlay Curtis,MF,sct Scotland,19,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,e2a68b89
222,Aymen Dahmen,GK,tn Tunisia,29,1997,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,8bf49030
223,Diogo Dalot,DFMF,pt Portugal,27,1999,0.7,0,1,0,0.0,1.38,0.00,0.00,,0,0,Matches,d9565625
224,Danilo,DF,br Brazil,34,1991,4.5,0,1,0,0.0,0.22,0.00,0.00,,0,0,Matches,94b2001f
225,Kevin Danso,DF,at Austria,27,1998,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,Matches,6e33125f
226,Vladimír Darida,MF,cz Czechia,35,1990,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0,Matches,3eb0f2df
227,Jonathan David,FW,ca Canada,26,2000,4.7,3,18,8,44.4,3.86,1.71,0.17,0.38,0,0,Matches,ce50fd99
228,Promise David,FW,ca Canada,24,2001,0.9,1,5,3,60.0,5.63,3.38,0.20,0.33,0,0,Matches,dbe19468
229,Alphonso Davies,DFFW,ca Canada,25,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,d781d855
230,Erick Davis,DF,pa Panama,35,1991,0.0,0,1,0,0.0,22.50,0.00,0.00,,0,0,Matches,2ffb0739
231,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1998,2.3,0,1,0,0.0,0.43,0.00,0.00,,0,0,Matches,7709e4a6
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,2.7,0,3,0,0.0,1.10,0.00,0.00,,0,0,Matches,60ee859c
233,Mohammad Al-Dawud,FWMF,jo Jordan,34,1992,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,e645c3fc
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,20,5,25.0,4.71,1.18,0.05,0.20,0,0,Matches,e46012d4
235,Maxim De Cuyper,DF,be Belgium,25,2000,4.9,0,10,6,60.0,2.04,1.22,0.00,0.00,0,0,Matches,d494882e
236,Luc De Fougerolles,DF,ca Canada,20,2005,4.1,0,3,1,33.3,0.73,0.24,0.00,0.00,0,0,Matches,45c427ff
237,Charles De Ketelaere,FWMF,be Belgium,25,2001,3.9,3,6,5,83.3,1.54,1.29,0.50,0.60,0,0,Matches,2ef7c612
238,Nicolás De La Cruz,MF,uy Uruguay,29,1997,1.0,0,4,2,50.0,4.19,2.09,0.00,0.00,0,0,Matches,8fda5c72
239,Rodrigo De Paul,MF,ar Argentina,32,1994,5.5,0,2,1,50.0,0.37,0.18,0.00,0.00,0,0,Matches,162efffd
240,Amar Dedić,DF,ba Bosnia–Herz,23,2002,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,0,0,Matches,bc6e544a
241,Louicius Deedson,MF,ht Haiti,25,2001,1.2,0,2,0,0.0,1.61,0.00,0.00,,0,0,Matches,f7059bb1
242,Hannes Delcroix,DF,ht Haiti,27,1999,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,b737f944
243,Ousmane Dembélé,MF,fr France,29,1997,6.6,6,20,10,50.0,3.04,1.52,0.30,0.60,0,0,Matches,b19db005
244,Merih Demiral,DF,tr Türkiye,28,1998,2.0,0,6,2,33.3,3.00,1.00,0.00,0.00,0,0,Matches,e3cceee6
245,Ermedin Demirović,FW,ba Bosnia–Herz,28,1998,3.9,0,4,4,100.0,1.02,1.02,0.00,0.00,0,0,Matches,ed79b7d3
246,Sergiño Dest,MF,us USA,25,2000,3.3,0,3,1,33.3,0.91,0.30,0.00,0.00,0,0,Matches,5976f83e
247,Frans Dhia Putros,DF,iq Iraq,32,1993,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,0102aa7e
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,44435c8f
249,Amad Diallo,MFFW,ci Côte d'Ivoire,23,2002,2.1,2,8,4,50.0,3.89,1.95,0.25,0.50,0,0,Matches,9dc96f10
250,Assane Diao,MF,sn Senegal,20,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,8ae7d0ec
251,Habib Diarra,MF,sn Senegal,22,2004,1.6,2,4,2,50.0,2.52,1.26,0.50,1.00,0,0,Matches,6d0fe035
252,Rúben Dias,DF,pt Portugal,29,1997,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,31c69ef1
253,Krépin Diatta,DF,sn Senegal,27,1999,4.3,0,1,0,0.0,0.23,0.00,0.00,,0,0,Matches,8104e41e
254,Mory Diaw,GK,sn Senegal,32,1993,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,f41a69e6
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,6,1,16.7,1.18,0.20,0.00,0.00,0,0,Matches,407feb71
256,Ismael Díaz,FWMF,pa Panama,29,1997,0.4,0,6,2,33.3,14.59,4.86,0.00,0.00,0,0,Matches,f2a276d1
257,Luis Díaz,FWMF,co Colombia,29,1997,5.3,1,19,6,31.6,3.58,1.13,0.05,0.17,0,0,Matches,4a1a9578
258,Bamba Dieng,FW,sn Senegal,26,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,40774c6b
259,Lucas Digne,DF,fr France,32,1993,5.1,0,2,1,50.0,0.39,0.19,0.00,0.00,0,0,Matches,1b84dbe1
260,Diney,DF,cv Cabo Verde,31,1995,4.3,0,4,2,50.0,0.92,0.46,0.00,0.00,0,0,Matches,d2e33ba2
