https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
494,Orkun Kökçü,MF,tr Türkiye,25,2000,1.7,0,3,0,0.0,1.76,0.00,0.00,,0,0,Matches,9bf914b4
495,Sead Kolašinac,DF,ba Bosnia–Herz,32,1993,3.7,0,0,0,,0.00,0.00,,,0,0,Matches,3935e52e
496,Ghislain Konan,DF,ci Côte d'Ivoire,30,1995,3.0,0,4,0,0.0,1.34,0.00,0.00,,0,0,Matches,6b2c894b
497,Ibrahima Konaté,DF,fr France,27,1999,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,5ed9b537
498,Ismaël Koné,MF,ca Canada,23,2002,1.6,0,2,0,0.0,1.23,0.00,0.00,,0,0,Matches,e0220b70
499,Manu Koné,MF,fr France,25,2001,4.3,0,6,2,33.3,1.40,0.47,0.00,0.00,0,0,Matches,86574238
500,Ezri Konsa,DF,eng England,28,1997,7.2,1,3,2,66.7,0.42,0.28,0.33,0.50,0,0,Matches,0313a347
501,Teun Koopmeiners,DFMF,nl Netherlands,28,1998,1.4,0,2,0,0.0,1.48,0.00,0.00,,0,0,Matches,a26fb8aa
502,Odilon Kossounou,DF,ci Côte d'Ivoire,25,2001,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,1f3afdcb
503,Kalidou Koulibaly,DF,sn Senegal,34,1991,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,da974c7b
504,Jules Koundé,DF,fr France,27,1998,6.7,0,2,0,0.0,0.30,0.00,0.00,,0,0,Matches,4d1666ff
505,Mateo Kovačić,MF,hr Croatia,32,1994,3.0,0,5,4,80.0,1.67,1.33,0.00,0.00,0,0,Matches,79c0821a
506,Matej Kovar,GK,cz Czechia,26,2000,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,bc67a0e1
507,Andrej Kramarić,FWMF,hr Croatia,34,1991,0.7,0,1,0,0.0,1.53,0.00,0.00,,0,0,Matches,603cb947
508,Ladislav Krejčí,DF,cz Czechia,27,1999,3.0,1,5,1,20.0,1.67,0.33,0.20,1.00,0,0,Matches,5b5c2228
509,Takefusa Kubo,MF,jp Japan,25,2001,0.8,0,1,0,0.0,1.22,0.00,0.00,,0,0,Matches,16aa3654
510,Brandley Kuwas,FWMF,cw Curaçao,33,1992,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,42c94967
511,Prince Kwabena Adu,FW,gh Ghana,22,2003,0.4,0,1,1,100.0,2.31,2.31,0.00,0.00,0,0,Matches,36bdd145
512,Maxence Lacroix,DF,fr France,26,2000,2.7,0,0,0,,0.00,0.00,,,0,0,Matches,277c49ed
513,Gustaf Lagerbielke,DF,se Sweden,26,2000,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,0,0,Matches,9e39fa2d
514,Konrad Laimer,MFDF,at Austria,29,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,c1b7847c
515,Ali Lajami,DF,sa Saudi Arabia,30,1996,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,46f7ab4f
516,Senne Lammens,GK,be Belgium,23,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,8e6d2fcd
517,Noa Lang,FWMF,nl Netherlands,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,8e034340
518,Sondre Langås,DF,no Norway,25,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,107e4890
519,Aymeric Laporte,DF,es Spain,32,1994,8.1,0,5,2,40.0,0.62,0.25,0.00,0.00,0,0,Matches,119b9a8e
520,Cyle Larin,FW,ca Canada,31,1995,2.1,2,9,4,44.4,4.26,1.89,0.22,0.50,0,0,Matches,e7af9060
521,Richie Laryea,DF,ca Canada,31,1995,4.8,0,2,1,50.0,0.42,0.21,0.00,0.00,0,0,Matches,276fdbe4
522,Mohanad Lasheen,MF,eg Egypt,30,1996,4.0,0,2,0,0.0,0.50,0.00,0.00,,0,0,Matches,8c041c7d
523,Issa Laye,MFDF,qa Qatar,28,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,c078667a
524,Rafael Leão,MF,pt Portugal,27,1999,1.8,1,4,1,25.0,2.28,0.57,0.25,1.00,0,0,Matches,20730eae
525,Mathew Leckie,MF,au Australia,35,1991,0.7,0,1,0,0.0,1.50,0.00,0.00,,0,0,Matches,b93b7882
526,Jefferson Lerma,MF,co Colombia,31,1994,4.6,0,5,1,20.0,1.10,0.22,0.00,0.00,0,0,Matches,9b5ce51a
527,Jamie Leweling,FWMF,de Germany,25,2001,0.3,0,1,0,0.0,2.90,0.00,0.00,,0,0,Matches,13fe7b69
528,Philipp Lienhart,DF,at Austria,29,1996,2.0,0,1,0,0.0,0.50,0.00,0.00,,0,0,Matches,302527b2
529,Victor Lindelöf,DFMF,se Sweden,31,1994,4.0,0,2,0,0.0,0.51,0.00,0.00,,0,0,Matches,f5deef4c
530,Erik Lira,MF,mx Mexico,26,2000,3.8,0,0,0,,0.00,0.00,,,0,0,Matches,7b2c24ed
531,Dominik Livaković,GK,hr Croatia,31,1995,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,58f077c0
532,Dailon Livramento,FW,cv Cabo Verde,25,2001,1.9,0,1,0,0.0,0.52,0.00,0.00,,0,0,Matches,c115db1e
533,Marcos Llorente,DF,es Spain,31,1995,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,02c15616
534,Giovani Lo Celso,MF,ar Argentina,30,1996,0.7,1,1,1,100.0,1.53,1.53,1.00,1.00,0,0,Matches,d7553721
535,Jürgen Locadia,FW,cw Curaçao,32,1993,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,Matches,6cc47ae1
536,Azarías Londoño,MF,pa Panama,24,2001,0.6,0,1,0,0.0,1.61,0.00,0.00,,0,0,Matches,31d68775
537,Sidny Lopes Cabral,DF,cv Cabo Verde,23,2002,3.2,1,4,2,50.0,1.26,0.63,0.25,0.50,0,0,Matches,20700569
538,Flaco López,FW,ar Argentina,25,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,Matches,e1426a52
539,Derrick Luckassen,DF,gh Ghana,30,1995,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,0,0,Matches,30a09cb5
540,Jhon Lucumí,DF,co Colombia,27,1998,5.3,0,2,0,0.0,0.38,0.00,0.00,,0,0,Matches,80490d7f
541,José Luis Rodríguez,MFFW,pa Panama,27,1998,2.6,0,3,1,33.3,1.16,0.39,0.00,0.00,0,0,Matches,b333b014
542,Romelu Lukaku,FW,be Belgium,33,1993,2.6,3,6,3,50.0,2.32,1.16,0.50,1.00,0,0,Matches,5eae500a
543,Dodi Lukebakio,MF,be Belgium,28,1997,1.8,0,7,1,14.3,3.84,0.55,0.00,0.00,0,0,Matches,0c61c77c
544,Jovo Lukić,FW,ba Bosnia–Herz,27,1998,0.7,1,3,2,66.7,4.03,2.69,0.33,0.50,0,0,Matches,a2056e82
545,Awer Mabil,FWMF,au Australia,30,1995,0.3,0,1,0,0.0,3.00,0.00,0.00,,0,0,Matches,922da988
546,Alexis Mac Allister,MF,ar Argentina,27,1998,8.3,1,13,4,30.8,1.56,0.48,0.08,0.25,0,0,Matches,83d074ff
547,Deiver Machado,DF,co Colombia,32,1993,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,b3f8bdef
548,Shuto Machino,FW,jp Japan,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,964dde35
549,Assim Madibo,MF,qa Qatar,29,1996,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,2b1d2ada
550,Noni Madueke,MF,eng England,24,2002,3.2,0,6,1,16.7,1.89,0.31,0.00,0.00,0,0,Matches,bf34eebd
551,Daizen Maeda,MF,jp Japan,28,1997,2.7,1,2,1,50.0,0.74,0.37,0.50,1.00,0,0,Matches,395451fc
552,Gabriel Magalhães,DF,br Brazil,28,1997,5.0,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches,67ac5bb8
553,Ermin Mahmić,MF,ba Bosnia–Herz,21,2005,0.8,2,4,2,50.0,5.29,2.65,0.50,1.00,0,0,Matches,86e34165
554,Hadj Mahmoud,MF,tn Tunisia,26,2000,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,081048c2
555,Riyad Mahrez,MF,dz Algeria,35,1991,2.9,2,6,3,50.0,2.06,1.03,0.33,0.67,0,0,Matches,892d5bb1
556,Alexandro Maidana,DF,py Paraguay,20,2005,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,4d0d5020
557,Mike Maignan,GK,fr France,30,1995,8.0,0,0,0,,0.00,0.00,,,0,0,Matches,fcb38f57
558,Evidence Makgopa,FW,za South Africa,26,2000,2.4,0,4,3,75.0,1.67,1.26,0.00,0.00,0,0,Matches,4d76d03b
559,Ahmed Maknzi,DF,iq Iraq,24,2001,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,f95ac2b6
560,Donyell Malen,FW,nl Netherlands,27,1999,2.1,0,4,2,50.0,1.95,0.97,0.00,0.00,0,0,Matches,116c35df
561,Arjan Malic,DF,ba Bosnia–Herz,20,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,de57cd45
562,Mohamed Manai,DF,qa Qatar,23,2002,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,1e20b706
563,Aïssa Mandi,DF,dz Algeria,34,1991,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,fbd6378b
564,Sadio Mané,MFFW,sn Senegal,34,1992,4.0,0,6,3,50.0,1.49,0.75,0.00,0.00,0,0,Matches,c691bfe2
565,Juan Manuel Sanabria,DF,uy Uruguay,26,2000,2.3,0,3,0,0.0,1.32,0.00,0.00,,0,0,Matches,f1d74479
566,Johan Manzambi,MFFW,ch Switzerland,20,2005,2.2,3,6,3,50.0,2.71,1.36,0.50,1.00,0,0,Matches,8fcf0e12
567,Mahmoud Al-Mardi,MF,jo Jordan,32,1993,1.4,0,1,1,100.0,0.69,0.69,0.00,0.00,0,0,Matches,1eedc1ea
568,Jearl Margaritha,FWMF,cw Curaçao,26,2000,0.5,0,1,0,0.0,2.20,0.00,0.00,,0,0,Matches,be915a68
569,Omar Marmoush,FWMF,eg Egypt,27,1999,3.6,0,11,1,9.1,3.04,0.28,0.00,0.00,0,0,Matches,0e0102eb
570,Marquinhos,DF,br Brazil,32,1994,5.0,0,2,0,0.0,0.40,0.00,0.00,,0,0,Matches,d5f2f82b
571,Gabriel Martinelli,MF,br Brazil,24,2001,1.6,1,2,1,50.0,1.26,0.63,0.50,1.00,0,0,Matches,48a5a5d6
572,Guillermo Martínez Ayala,FW,mx Mexico,31,1995,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,59146354
573,Cristian Martínez,MFFW,pa Panama,29,1997,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,Matches,fdb15495
574,Emiliano Martínez,GK,ar Argentina,33,1992,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,7956236f
575,Lautaro Martínez,FW,ar Argentina,28,1997,3.4,3,10,4,40.0,2.90,1.16,0.30,0.75,1,1,Matches,f7036e1c
576,Lisandro Martínez,DF,ar Argentina,28,1998,6.9,1,4,2,50.0,0.58,0.29,0.25,0.50,0,0,Matches,bac46a10
577,Thapelo Maseko,MFFW,za South Africa,22,2003,2.7,1,8,1,12.5,2.98,0.37,0.13,1.00,0,0,Matches,498d45f7
578,Hazem Mastouri,FW,tn Tunisia,28,1997,1.0,1,3,2,66.7,3.03,2.02,0.33,0.50,0,0,Matches,c88f913e
579,Arthur Masuaku,DF,cd Congo DR,32,1993,3.5,0,0,0,,0.00,0.00,,,0,0,Matches,57df7a11
580,Igor Matanović,FW,hr Croatia,23,2003,1.1,0,4,2,50.0,3.79,1.89,0.00,0.00,0,0,Matches,948e1292
581,Pape Matar Sarr,MF,sn Senegal,23,2002,0.7,0,4,0,0.0,5.37,0.00,0.00,,0,0,Matches,feb5d972
582,Jean-Philippe Mateta,FW,fr France,28,1997,0.3,0,3,1,33.3,11.25,3.75,0.00,0.00,0,0,Matches,50e6dc35
583,Mauricio,MF,py Paraguay,25,2001,1.9,1,4,3,75.0,2.08,1.56,0.25,0.33,0,0,Matches,bf4cbc22
584,Fiston Mayele,FW,cd Congo DR,31,1994,0.5,1,5,1,20.0,10.71,2.14,0.20,1.00,0,0,Matches,0d113a00
585,Ibrahim Maza,MFFW,dz Algeria,20,2005,3.9,0,11,3,27.3,2.82,0.77,0.00,0.00,0,0,Matches,89b3bc5e
586,Noussair Mazraoui,DF,ma Morocco,28,1997,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,b74277a0
587,Kylian Mbappé,FW,fr France,27,1998,7.7,10,41,23,56.1,5.31,2.98,0.24,0.43,1,2,Matches,42fd9c7f
588,Thalente Mbatha,MF,za South Africa,26,2000,2.9,0,4,1,25.0,1.38,0.35,0.00,0.00,0,0,Matches,f6272be9
589,Ibrahim Mbaye,MF,sn Senegal,18,2008,1.7,1,4,1,25.0,2.29,0.57,0.25,1.00,0,0,Matches,201b4ee4
590,Chancel Mbemba,DF,cd Congo DR,31,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,e76cb9cc
591,Mbekezeli Mbokazi,DF,za South Africa,20,2005,4.0,0,4,1,25.0,1.00,0.25,0.00,0.00,0,0,Matches,13398d42
592,Nathanaël Mbuku,MFFW,cd Congo DR,24,2002,1.6,0,3,2,66.7,1.89,1.26,0.00,0.00,0,0,Matches,46750e9c
593,Callum McCowatt,MF,nz New Zealand,27,1999,1.8,0,4,3,75.0,2.26,1.70,0.00,0.00,0,0,Matches,3fc42049
594,John McGinn,MF,sct Scotland,31,1994,2.9,1,3,1,33.3,1.04,0.35,0.33,1.00,0,0,Matches,90f91999
595,Scott McKenna,DF,sct Scotland,29,1996,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,4e5a4cbc
596,Weston McKennie,MF,us USA,27,1998,4.9,0,5,1,20.0,1.02,0.20,0.00,0.00,0,0,Matches,01c3aff5
597,Mark McKenzie,DF,us USA,27,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,a5f5d094
598,Kenny McLean,MF,sct Scotland,34,1992,1.3,0,1,0,0.0,0.76,0.00,0.00,,0,0,Matches,471f16b3
599,Scott McTominay,MF,sct Scotland,29,1996,3.0,0,8,3,37.5,2.67,1.00,0.00,0.00,0,0,Matches,d93c2511
600,Brandon Mechele,DF,be Belgium,33,1993,6.3,0,5,1,20.0,0.79,0.16,0.00,0.00,0,0,Matches,0a6dbbf7
601,Facundo Medina,DF,ar Argentina,27,1999,3.4,0,0,0,,0.00,0.00,,,0,0,Matches,6f5ec8bb
602,Yaimar Medina,DFMF,ec Ecuador,21,2004,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,1fe8ecf7
603,Hannibal Mejbri,MF,tn Tunisia,23,2003,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,0,0,Matches,ca22ccb0
604,Amar Memić,MF,ba Bosnia–Herz,25,2001,2.5,0,3,1,33.3,1.21,0.40,0.00,0.00,0,0,Matches,918c187c
605,Memphis,FWMF,nl Netherlands,32,1994,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,8f696594
606,Sultan Mendash,MF,sa Saudi Arabia,31,1994,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,8738a7a1
607,Lucas Mendes,DF,qa Qatar,35,1990,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,5169f27f
608,Nuno Mendes,DF,pt Portugal,23,2002,4.4,1,3,1,33.3,0.68,0.23,0.33,1.00,0,0,Matches,f20e4cc9
609,Ryan Mendes,FWMF,cv Cabo Verde,36,1990,3.7,0,6,0,0.0,1.64,0.00,0.00,,0,0,Matches,ba6e01ab
610,Édouard Mendy,GK,sn Senegal,34,1992,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,33887998
611,Gideon Mensah,DF,gh Ghana,27,1998,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,9bdd8118
612,Mikel Merino,MF,es Spain,29,1996,2.2,2,5,3,60.0,2.26,1.36,0.40,0.67,0,0,Matches,d080ed5e
613,Lionel Messi,FW,ar Argentina,38,1987,8.2,8,35,18,51.4,4.26,2.19,0.23,0.44,0,2,Matches,d70ce98e
614,Connor Metcalfe,MF,au Australia,26,1999,3.5,1,5,2,40.0,1.43,0.57,0.20,0.50,0,0,Matches,73ce4d7d
615,Thomas Meunier,DF,be Belgium,34,1991,2.1,0,2,1,50.0,0.95,0.47,0.00,0.00,0,0,Matches,e162b013
616,Liam Millar,MF,ca Canada,26,1999,1.8,0,1,0,0.0,0.56,0.00,0.00,,0,0,Matches,983515f8
617,Kim Min-jae,DF,kr Korea Republic,29,1996,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,0,0,Matches,e0f8151c
618,Yerry Mina,DF,co Colombia,31,1994,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,6d5701f2
619,Alan Minda,MF,ec Ecuador,23,2003,0.6,0,2,0,0.0,3.27,0.00,0.00,,0,0,Matches,9cfd5b00
620,Aubrey Modiba,DF,za South Africa,30,1995,3.8,0,5,1,20.0,1.30,0.26,0.00,0.00,0,0,Matches,bb1f97f2
621,Luka Modrić,MF,hr Croatia,40,1985,3.5,0,1,0,0.0,0.28,0.00,0.00,,0,0,Matches,6025fab1
622,Relebohile Mofokeng,MF,za South Africa,21,2004,1.9,0,3,1,33.3,1.60,0.53,0.00,0.00,0,0,Matches,25c3fb97
623,Shahriar Moghanlou,FW,ir IR Iran,31,1994,1.0,0,3,0,0.0,3.07,0.00,0.00,,0,0,Matches,92f69be8
624,Milad Mohammadi,DF,ir IR Iran,32,1993,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,0,0,Matches,740a0e28
625,Mohammad Mohebi,MF,ir IR Iran,27,1998,2.7,1,2,1,50.0,0.74,0.37,0.50,1.00,0,0,Matches,7b6b53c3
626,Johan Mojica,DF,co Colombia,33,1992,4.3,0,3,2,66.7,0.69,0.46,0.00,0.00,0,0,Matches,608f2092
627,Teboho Mokoena,MF,za South Africa,29,1997,3.0,1,4,2,50.0,1.33,0.67,0.25,0.50,1,1,Matches,00029b1e
628,Nahuel Molina,DF,ar Argentina,28,1998,5.9,0,1,0,0.0,0.17,0.00,0.00,,0,0,Matches,23610943
629,Jamiro Monteiro,MF,cv Cabo Verde,32,1993,3.1,0,5,1,20.0,1.60,0.32,0.00,0.00,0,0,Matches,d384bddd
630,César Montes,DF,mx Mexico,29,1997,3.5,0,1,1,100.0,0.29,0.29,0.00,0.00,0,0,Matches,28e957d7
631,Gonzalo Montiel,DF,ar Argentina,29,1997,2.1,0,1,0,0.0,0.47,0.00,0.00,,0,0,Matches,374d5158
632,Kim Moon-hwan,MF,kr Korea Republic,30,1995,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,6bce7dd8
633,Gilberto Mora,MF,mx Mexico,17,2008,2.4,0,5,0,0.0,2.11,0.00,0.00,,0,0,Matches,69c9ffe8
634,Diego Moreira,MF,be Belgium,21,2004,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,12de1b0d
635,Steven Moreira,DF,cv Cabo Verde,31,1994,3.3,0,2,0,0.0,0.60,0.00,0.00,,0,0,Matches,f10983ae
636,Tshepang Moremi,MF,za South Africa,25,2000,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,546d38f9
637,Orlando Mosquera,GK,pa Panama,31,1994,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,ea34d827
638,Samir El Mourabet,MF,ma Morocco,20,2005,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,1a03d055
639,Samuel Moutoussamy,MF,cd Congo DR,29,1996,3.7,0,3,0,0.0,0.82,0.00,0.00,,0,0,Matches,af0c835b
640,Akmal Mozgovoy,MF,uz Uzbekistan,27,1999,2.4,0,1,0,0.0,0.42,0.00,0.00,,0,0,Matches,114cb95b
641,Lionel Mpasi,GK,cd Congo DR,31,1994,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,5c6b0637
642,Khuliso Mudau,DF,za South Africa,31,1995,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,75388f92
643,Tarik Muharemovic,DF,ba Bosnia–Herz,23,2003,2.9,0,1,0,0.0,0.35,0.00,0.00,,0,0,Matches,426dda23
644,Miro Muheim,DFMF,ch Switzerland,28,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,844c6a91
645,Ngal'Ayel Mukau,MF,cd Congo DR,21,2004,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches,bb461b8a
646,Mert Müldür,DF,tr Türkiye,27,1999,1.1,0,3,0,0.0,2.67,0.00,0.00,,0,0,Matches,1295552e
647,Daniel Muñoz,DF,co Colombia,30,1996,4.4,2,3,2,66.7,0.69,0.46,0.67,1.00,0,0,Matches,778ef829
648,Petar Musa,FW,hr Croatia,28,1998,1.2,1,1,1,100.0,0.82,0.82,1.00,1.00,0,0,Matches,4567a0b4
649,Jamal Musiala,MF,de Germany,23,2003,3.0,1,6,1,16.7,2.00,0.33,0.17,1.00,0,0,Matches,2c0558b8
650,Fernando Muslera,GK,uy Uruguay,39,1986,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,a2abe631
651,Phillipp Mwene,DF,at Austria,32,1994,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,Matches,2ff76adc
652,David Møller Wolfe,DF,no Norway,24,2002,4.8,0,0,0,,0.00,0.00,,,0,0,Matches,9affc5f2
653,Yūto Nagatomo,DFMF,jp Japan,39,1986,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,4b6960d2
654,Keito Nakamura,MF,jp Japan,25,2000,3.4,1,5,2,40.0,1.47,0.59,0.20,0.50,0,0,Matches,d97af612
655,Abdallah Nasib,DF,jo Jordan,32,1994,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,aaab3072
656,Sherzod Nasrullaev,DFMF,uz Uzbekistan,27,1998,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,0,0,Matches,aeb0c7f7
657,Duckens Nazon,FWMF,ht Haiti,32,1994,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,0,0,Matches,20e87a42
658,Iliman Ndiaye,FW,sn Senegal,26,2000,1.3,1,3,2,66.7,2.37,1.58,0.33,0.50,0,0,Matches,5ed97752
659,Dan Ndoye,MFFW,ch Switzerland,25,2000,4.5,2,16,8,50.0,3.55,1.77,0.13,0.25,0,0,Matches,8e697a8f
660,Jayden Nelson,FWMF,ca Canada,23,2002,0.0,0,1,0,0.0,22.50,0.00,0.00,,0,0,Matches,92305a81
661,Ali Nemati,DF,ir IR Iran,30,1996,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,19a221f7
662,Abduvohid Nematov,GK,uz Uzbekistan,25,2001,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,25e45f2a
663,Pedro Neto,MF,pt Portugal,26,2000,3.9,0,1,0,0.0,0.26,0.00,0.00,,0,0,Matches,7ba2eaa9
664,Manuel Neuer,GK,de Germany,40,1986,4.3,0,0,0,,0.00,0.00,,,0,0,Matches,8778c910
665,João Neves,MF,pt Portugal,21,2004,4.3,1,3,1,33.3,0.69,0.23,0.33,1.00,0,0,Matches,c2a15a27
666,Rúben Neves,MF,pt Portugal,29,1997,0.6,0,2,0,0.0,3.27,0.00,0.00,,0,0,Matches,44bfb6c5
667,Neymar,FWMF,br Brazil,34,1992,0.4,1,3,2,66.7,6.92,4.62,0.33,0.50,1,1,Matches,69384e5d
668,Nathan Ngoy,DF,be Belgium,23,2003,3.7,0,1,0,0.0,0.27,0.00,0.00,,0,0,Matches,eb7abf2e
669,Moussa Niakhaté,DF,sn Senegal,30,1996,4.3,0,1,0,0.0,0.23,0.00,0.00,,0,0,Matches,00242715
670,Gustaf Nilsson,FW,se Sweden,29,1997,0.0,0,1,0,0.0,45.00,0.00,0.00,,0,0,Matches,a7d48b00
671,Felix Nmecha,MF,de Germany,25,2000,3.0,1,8,3,37.5,2.67,1.00,0.13,0.33,0,0,Matches,091c86e2
672,Kristoffer Nordfeldt,GK,se Sweden,36,1989,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,78549904
673,Tyrese Noslin,MF,cw Curaçao,23,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,c3709bd2
674,Ernest Nuamah,MF,gh Ghana,22,2003,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,234a703c
675,Matheus Nunes,DFMF,pt Portugal,27,1998,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,e6af02e0
676,Darwin Núñez,FW,uy Uruguay,26,1999,1.7,0,2,0,0.0,1.15,0.00,0.00,,0,0,Matches,4d77b365
677,Antonio Nusa,FW,no Norway,21,2005,3.5,1,6,2,33.3,1.70,0.57,0.17,0.50,0,0,Matches,4ab12002
678,Benjamin Nygren,MF,se Sweden,24,2001,1.4,0,1,0,0.0,0.69,0.00,0.00,,0,0,Matches,d6ebf67f
679,Ørjan Nyland,GK,no Norway,35,1990,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,bdedffac
680,Aiden O'Neill,MF,au Australia,27,1998,4.0,0,2,0,0.0,0.50,0.00,0.00,,0,0,Matches,c7aee75b
681,Nico O'Reilly,DF,eng England,21,2005,5.1,0,7,1,14.3,1.37,0.20,0.00,0.00,0,0,Matches,91ca4a16
682,Salim Obaid,DF,jo Jordan,34,1992,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,f494bf5f
683,Armando Obispo,DF,cw Curaçao,27,1999,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,2ffa6348
684,Guillermo Ochoa,GK,mx Mexico,40,1985,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1e9bde92
685,Kōki Ogawa,FW,jp Japan,28,1997,0.5,0,3,0,0.0,6.43,0.00,0.00,,0,0,Matches,3d2e8955
686,Braian Ojeda,MF,py Paraguay,25,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,60953af0
687,Noah Okafor,FWMF,ch Switzerland,26,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,Matches,ca607d59
688,Ime Okon,DF,za South Africa,22,2004,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,3cb58055
689,Paul Okon-Engstler,MF,au Australia,21,2005,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,ecd6464a
690,Ben Old,MF,nz New Zealand,23,2002,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,e14e818c
691,Michael Olise,MF,fr France,24,2001,7.2,0,20,5,25.0,2.79,0.70,0.00,0.00,0,0,Matches,c4486bac
692,Mathías Olivera,DF,uy Uruguay,28,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,41c12f75
693,Dani Olmo,MF,es Spain,28,1998,5.5,0,13,2,15.4,2.38,0.37,0.00,0.00,0,0,Matches,ae44e8e2
694,Tani Oluwaseyi,FW,ca Canada,26,2000,2.9,0,8,4,50.0,2.78,1.39,0.00,0.00,0,0,Matches,950ef017
695,Ali Olwan,MF,jo Jordan,26,2000,3.0,1,6,3,50.0,2.01,1.01,0.17,0.33,0,0,Matches,33c1d68d
696,Amadou Onana,MF,be Belgium,24,2001,1.2,0,2,0,0.0,1.70,0.00,0.00,,0,0,Matches,828657ff
697,Christopher Opéri,DF,ci Côte d'Ivoire,29,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,914bb955
698,Jerome Opoku,DF,gh Ghana,27,1998,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,091d6ee5
